-1.1358583547415626  -1.1691037481097988 1.0 13.644128 785.98804
-1.1326329081903153  -0.9903825923938552 2.0 13.558048 889.2181
-1.307545248239599  -1.2488370429032682 3.0 13.360188 512.647
-1.0827592030171571  -0.950748240429011 4.0 13.267936 692.128
-1.2826098723666643  -1.058678245243988 5.0 13.232018 727.79504
-1.1064971842207034  -1.151329085763142 6.0 13.158477 678.478
-1.1132370900725728  -1.0898100376425153 7.0 12.923537 667.51306
-1.1217765927345626  -1.1170675540501955 8.0 12.78006 578.91504
-1.174936685091216  -1.0671654636214185 9.0 12.558975 664.651
-1.1373194153290127  -0.9200356374351982 10.0 12.152965 519.005
-1.3885607626565617  -1.48309530660576 11.0 12.090408 582.667
-1.0706209196847696  -1.0829420757230264 12.0 12.059149 582.86597
-1.0582881077588573  -0.8679234243210381 13.0 11.943291 755.204
-1.1422134229951002  -1.0857955642870023 14.0 11.927526 530.788
-1.1869495237472796  -1.2461157323407661 15.0 11.859518 517.143
-1.1204028318199373  -0.9958402404312074 16.0 11.823363 624.4501
-1.172256819235494  -1.2987972104201067 17.0 11.655286 497.23303
-1.2447003273367268  -1.2176813618966063 18.0 11.618141 470.114
-1.1120838901655479  -1.1610690944167363 20.0 11.503964 465.353
-1.0675054795955363  -1.043721474332799 21.0 11.456929 621.996
-1.065334342685655  -1.085119637526024 22.0 11.395044 603.726
-1.1149277111682747  -1.0780697385417588 23.0 11.385858 557.709
-1.2745803693269095  -1.1502730920696782 24.0 11.301706 453.58698
-1.3207034424769637  -1.414582734807293 25.0 11.296867 285.349
-1.137311881959866  -0.9335724230424114 26.0 11.28448 507.456
-1.1425358664528835  -1.0905579628365984 27.0 11.276658 561.00903
-1.2487482044807372  -1.210791255555463 28.0 11.270613 469.597
-1.3477687221957901  -1.583304177857302 29.0 11.248531 358.69098
-1.2586372461907849  -1.1886422571018462 30.0 11.241565 451.339
-1.0759991468529562  -1.0033737284920863 31.0 11.189402 379.56
-1.2343328941128453  -1.2769107259601515 32.0 11.139594 444.577
-1.1623885871414814  -1.098359185724014 33.0 11.136703 434.933
-1.3267729278902518  -1.3403028770374117 34.0 11.117816 477.548
-1.2439965270905193  -1.233837573645571 35.0 11.108966 485.82098
-1.30616846837281  -1.5551171720224384 36.0 11.060608 328.559
-1.1459929271237774  -1.2700109027552133 37.0 10.995945 441.453
-1.0902338919694168  -1.0793136909279155 38.0 10.975715 504.611
-1.3892531107999309  -1.680972579861551 39.0 10.955704 342.672
-1.3567228638142454  -1.6048879302735835 40.0 10.95406 668.21497
-1.1785668777260603  -1.0777476294306143 41.0 10.915205 524.20996
-1.123520545953349  -1.1131396990078484 42.0 10.874494 435.56
-1.041979892492162  -1.1282283846883678 43.0 10.874158 499.505
-1.1914815917863142  -1.2313784708580144 44.0 10.855989 401.63303
-1.330388174957924  -1.4282328198214986 45.0 10.832011 378.005
-1.2604168936050122  -1.4188605265052179 46.0 10.828519 311.79102
-1.1423955424043724  -1.0863889111049962 47.0 10.789331 459.592
-1.3083238495349354  -1.4360462553750815 48.0 10.715624 433.62097
-1.1524703415777522  -1.1691569823398849 49.0 10.698604 498.669
